"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"TXRCBUS","197805","532.405","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197806","375.832","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197807","325.162","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197808","337.852","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197809","346.006","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197810","470.243","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197811","673.031","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197812","1017.61","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197813","8260.6","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197901","1264.667","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197902","1261.839","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197903","949.668","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197904","685.282","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197905","484.65","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197906","359.452","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197907","314.195","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197908","311.417","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197909","318.485","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197910","437.786","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197911","631.953","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197912","899.959","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197913","7919.353","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198001","1063.204","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198002","1075.443","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198003","926.399","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198004","640.924","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198005","460.466","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198006","356.143","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198007","296.382","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198008","277.249","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198009","300.257","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198010","433.995","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198011","644.357","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198012","964.382","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198013","7439.811","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198101","1192.187","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198102","1001.049","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198103","796.785","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198104","535.409","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198105","424.011","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198106","316.953","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198107","281.742","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198108","276.109","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198109","286.684","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198110","452.926","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198111","598.64","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198112","881.812","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198113","7045.674","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198201","1165.945","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198202","1025.192","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198203","850.443","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198204","683.342","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198205","417.487","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198206","323.654","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198207","283.59","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198208","277.113","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198209","323.867","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198210","406.525","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
