"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLRCBUS","198504","3.804","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198505","2.297","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198506","1.816","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198507","2.606","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198508","2.461","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198509","3.27","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198510","3.567","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198511","3.774","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198512","4.829","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198513","38.757","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198601","4.711","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198602","4.123","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198603","2.938","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198604","4.248","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198605","2.565","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198606","2.028","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198607","2.479","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198608","2.341","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198609","3.11","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198610","3.495","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198611","3.697","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198612","4.731","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198613","40.467","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198701","3.897","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198702","3.41","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198703","2.431","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198704","3.243","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198705","1.958","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198706","1.548","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198707","2.714","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198708","2.563","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198709","3.405","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198710","3.531","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198711","3.736","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198712","4.781","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198713","37.218","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198801","4.285","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198802","3.517","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198803","2.592","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198804","3.154","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198805","1.857","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198806","2.281","1","Coal Consumed by the Residential Sector","Trillion Btu"
